osmid_x,x,y,name,weighted_dist,oneway,highway
6189638,51487170,51487172,,0.6941839527181504,,service
6189638,51487172,51487174,,0.2946044144905254,,service
6189638,51487174,51487175,,0.23838283423368645,,service
6189638,51487175,51487177,,0.15286711624211946,,service
6189638,51487177,51487179,,0.18966598440373217,,service
6189638,51487179,3929897912,,0.2201153357235416,,service
6189638,3929897912,51487183,,0.13222172835333068,,service
6189638,51487183,51487185,,0.11716870168464383,,service
6189638,51487185,51487187,,0.12810225661421187,,service
6189638,51487187,51487188,,0.40960140999954514,,service
6189638,51487188,51487189,,0.21085667273404934,,service
6189638,51487189,3120566339,,0.17894199216773113,,service
6189638,3120566339,51487190,,0.2960376170692022,,service
6189654,51487315,51487319,,2.144850001584091,,service
6197176,51487315,5857076679,Northwest Fisk Street,0.26168422928802343,,residential
6189654,51487319,5857076678,,0.5864133414377921,,service
487541189,51520158,5857076678,,0.3774940520710136,,service
6191677,51487319,51506080,,0.3347749392466038,,service
6189654,5857076678,51487322,,0.021416664159159757,,service
6189654,51487322,51487323,,0.34204099005702715,,service
6189654,51487323,51487324,,0.15463103627906086,,service
6189654,51487324,3073980874,,0.181585271250687,,service
6189654,3073980874,11028187758,,0.3758829597123267,,service
6189654,11028187758,51487325,,0.644002853240932,,service
6189670,5909232123,51487453,,0.08249144320235224,,service
456901421,51567473,51487453,Northeast Merman Drive,0.8689498930833287,,tertiary
6189675,5474428096,5474451503,,0.06852012427925011,,residential
6194654,5474428096,5474451501,Northeast Valley Road,0.06603033350910424,,tertiary
6189675,5474451503,5474451506,,0.06839688281249444,,residential
569156372,10264318287,5474451506,,0.9570563774526436,yes,service
569156372,5474451508,5474451505,,0.07558552672623277,yes,service
6189675,5474451506,5474451500,,0.03852536908799844,,residential
6189675,5474451500,51499839,,0.022606671701319296,,residential
6189675,51499839,51487481,,0.3127005408121014,,residential
6190955,51499839,51499840,,0.4319532169175505,,service
6189675,51487481,51487482,,0.37300389398105926,,residential
6189681,2923619127,51487482,,0.0704480377893511,,service
6189681,51487513,3074214985,,1.1299193554418285,,service
6189681,3074214985,2923619127,,0.06803076312966819,,service
6189681,51487482,51487514,,0.9187467386190017,,service
6189716,51538214,1770723369,Southeast Spokane Street,0.13347145714463995,,residential
440053381,51538214,5733997387,Southeast Washington Street,0.12680447165989603,,residential
6189716,1770723369,1770723305,Southeast Spokane Street,0.1964865882732026,,residential
6189716,1770723305,8943505220,Southeast Spokane Street,0.4706900482679275,,residential
6189716,8943505220,51487737,Southeast Spokane Street,0.9215175422823306,,residential
6189716,51487737,51487739,Southeast Spokane Street,0.1709405884105249,,residential
6189716,51487739,5470111531,Southeast Spokane Street,0.09021507102346664,,residential
6189716,5470111531,51487741,Southeast Spokane Street,0.09250194036319685,,residential
6189716,51487741,5734000407,Southeast Spokane Street,0.17933610620635157,,residential
6189716,5734000407,51487743,Southeast Spokane Street,0.17941687744017384,,residential
456908520,5733997383,51487743,Southeast Stadium Way,0.2295676885267936,,secondary
6189746,51487991,51487992,Southwest Crestview Street,0.6268161603549028,,residential
317886819,51487991,3120659345,Southwest Crestview Street,0.7250717005718483,,residential
6189746,51487992,5587221062,Southwest Crestview Street,0.2266496345643769,,residential
584493198,5587221061,5587221062,,0.17555387553565355,,service
6195044,51487992,51521405,Southwest Campus View Drive,1.0932532668146209,,residential
6193048,3120659340,51521405,Southwest Meyer Drive,1.2066517169674948,,residential
6189746,5587221062,8249827121,Southwest Crestview Street,0.09681193747956751,,residential
6189746,8249827121,51487996,Southwest Crestview Street,1.264526597482776,,residential
6189746,51487996,51527493,Southwest Crestview Street,1.2483361915393636,,residential
584493218,51487996,5587223055,Southwest Ryan Court,0.5768646323046891,,residential
6189746,51527493,3120655480,Southwest Crestview Street,0.4387920807094395,,residential
6194899,51527493,5587221063,Southwest Itani Drive,0.3321838390849676,,residential
6189746,3120655480,11218795648,Southwest Crestview Street,1.308684703984123,,residential
6189746,11218795648,51527492,Southwest Crestview Street,0.20471552717199,,residential
6194394,51521398,51527492,Sunnyside Drive,1.036446090799294,,residential
6189746,51527492,558645428,Southwest Crestview Street,0.49961206380293716,,residential
6196067,5415424759,2510666145,Troy Mall,0.15604975521540232,no,pedestrian
6196067,2510666145,5541130993,Troy Mall,0.5848131611514228,no,pedestrian
228423172,5471810846,51506259,Wilson Mall,0.2971065457520344,,pedestrian
568795863,5471810845,11208434158,,0.30329991149450014,,service
6189790,8203468258,51488415,,0.155180736647452,,service
6194230,8203468258,51488625,Southeast Benewah Street,0.13437637581583148,,residential
6189805,51488624,51488625,,0.8055320577211301,,service
6189790,51488415,8203468256,,1.4685314223509496,,service
6189790,8203468256,51488417,,0.21463495895163537,,service
6189790,51488417,51488621,,0.2574732781985454,,service
6189805,51488618,51488621,,0.48253230225872806,,service
6189799,51488503,51488510,,0.6012895060366877,,service
1113540881,51488503,51540349,East Main Street,2.276589201672307,,primary
6189799,51488510,8317102345,,0.21481060755805365,,service
6189800,51488518,2453596477,,0.07183728427348293,,residential
6189802,51488518,51488561,,0.14694086072218826,,residential
6189800,2453596477,2453596458,,0.17033371805559927,,residential
6189800,51484889,51488520,,0.5672595447630038,,residential
6189802,51484889,51488551,,0.2544766367047645,,residential
6189800,51488520,2453596435,,0.19910213166988966,,residential
6189800,2453596435,51488523,,0.16790152148165677,,residential
6189800,51484937,2453596451,,0.06789971979794385,,residential
6189800,2453596451,2453596484,,0.14734341940327406,,residential
6189800,2453596484,2453596420,,0.35364461291388377,,residential
6189800,2453596420,2453596425,,0.15097467953504576,,residential
6189800,2453596425,51488528,,0.14565611018761074,,residential
6189800,51488528,51488530,,0.8797287810485814,,residential
6189800,51488530,51488531,,0.13433770396163408,,residential
6189800,51488531,2453596459,,0.1127367378375613,,residential
6189800,2453596459,2453596473,,0.212935467082187,,residential
6189800,2453596473,2453596476,,0.5362803774774715,,residential
6189800,2453596476,2453596494,,0.12108091435979029,,residential
6189800,2453596494,2453596495,,0.05802806457336057,,residential
6189800,2453596495,2453596444,,0.06681363144781491,,residential
