osmid,lat,lon
51505242,46.6953527,-117.1416573
51505244,46.6958385,-117.1391824
51505245,46.6967809,-117.1362211
51505246,46.6973604,-117.1355381
51505249,46.6977174,-117.1352623
51505251,46.6984955,-117.1348801
51505253,46.6990892,-117.1351923
51505255,46.6994870,-117.1348719
51505257,46.6997481,-117.1332020
51505259,46.7000916,-117.1323131
51505261,46.7007600,-117.1312910
51505492,46.7861631,-117.2479030
51505646,46.7440826,-117.1586062
51505650,46.7442870,-117.1586000
51505651,46.7450470,-117.1585999
51505671,46.7435881,-117.1537813
51505677,46.7439247,-117.1532964
51505678,46.7452556,-117.1534727
51505679,46.7453677,-117.1533919
51505680,46.7454447,-117.1531844
51505681,46.7455849,-117.1531598
51505683,46.7456069,-117.1532498
51505684,46.7455933,-117.1545191
51505688,46.7455921,-117.1553226
51505690,46.7448463,-117.1552528
51505691,46.7445373,-117.1540402
51505744,46.7315014,-117.1863386
51505746,46.7318317,-117.1870702
51505747,46.7319118,-117.1874206
51505748,46.7320551,-117.1873645
51505921,46.7641689,-117.1678503
51505923,46.7641976,-117.1695203
51505925,46.7642268,-117.1696158
51505927,46.7642761,-117.1696931
51505928,46.7643355,-117.1697480
51505931,46.7644861,-117.1698350
51505934,46.7568334,-117.1614587
51505935,46.7560030,-117.1616280
51506005,46.7568344,-117.1366551
51506010,46.7560140,-117.1366780
51506021,46.7556359,-117.1365942
51506080,46.7353132,-117.1866265
51506082,46.7353761,-117.1865612
51506083,46.7354170,-117.1864742
51506085,46.7353303,-117.1844133
51506193,46.8012955,-117.1708534
51506212,46.7395091,-117.1783357
51506213,46.7395159,-117.1790609
51506243,46.7397966,-117.1813218
51506244,46.7398536,-117.1811184
51506259,46.7306112,-117.1613712
51506293,46.7290513,-117.1650850
51506294,46.7290395,-117.1647728
51506454,46.7343652,-117.1489177
51506455,46.7345197,-117.1488325
51506457,46.7349784,-117.1485707
51506458,46.7354071,-117.1480017
51506459,46.7356964,-117.1475351
51506460,46.7358368,-117.1435338
51506461,46.7359370,-117.1430010
51506462,46.7361226,-117.1426430
51506541,46.7727399,-117.2100964
51506706,46.6914682,-117.2042624
51506864,46.7272303,-117.1468783
51506865,46.7272128,-117.1460019
51506868,46.7396925,-117.1495763
51506878,46.7423967,-117.1502547
51506886,46.7328205,-117.2066577
51506887,46.7328072,-117.2069712
51506902,46.7324938,-117.2066026
51506903,46.7324801,-117.2069211
51506918,46.7278144,-117.1876484
51506920,46.7273495,-117.1876574
51506922,46.7270796,-117.1876534
51506925,46.7269496,-117.1876539
51506928,46.7166207,-117.1827248
51506929,46.7166649,-117.1824172
51506930,46.7167038,-117.1821925
51506932,46.7167375,-117.1820812
51506933,46.7168149,-117.1819886
51506934,46.7168910,-117.1819586
51506935,46.7171870,-117.1819139
51506937,46.7172663,-117.1818691
51506939,46.7173095,-117.1817817
51506942,46.7172979,-117.1804045
51506943,46.7172864,-117.1800187
51506947,46.7167946,-117.1800242
51506948,46.7165389,-117.1799354
51506949,46.7164809,-117.1798199
51506951,46.7164591,-117.1796161
51506953,46.7153355,-117.1800335
51506959,46.7265310,-117.1906781
51506960,46.7271592,-117.1900259
51506972,46.7291959,-117.1412940
51506975,46.7297966,-117.1412189
51506976,46.7296104,-117.1513559
51506997,46.7296495,-117.1522886
51507012,46.7426746,-117.1546744
51507042,46.7298846,-117.1573249
51507043,46.7293631,-117.1574060
51507066,46.7433634,-117.1540751
51507150,46.7317701,-117.1540474
51507337,46.7293126,-117.1441792
51507342,46.7294439,-117.1441838
51507344,46.7294005,-117.1434236
51507346,46.7295296,-117.1423231
51507351,46.7306371,-117.1438646
51507380,46.7726225,-117.2230655
51507389,46.7108164,-117.2002753
51507394,46.7103715,-117.1997570
51507396,46.7098501,-117.1991210
51507398,46.7235754,-117.1604369
51507399,46.7233898,-117.1604557
51507401,46.7233517,-117.1605132
51507403,46.7233313,-117.1606458
